product_name,description,how_it_fits,composition_care,sale_price,color,images
Levi's® Women's Heritage Micro Tote,"Meet the perfect on-the-go bag. Our Heritage Micro Tote features a mini size, a roomy interior and two top handles.
The perfect on-the-go bag
Features a mini size
With two top handles","Snap; Model is 6'2"" with a 31"" waist. They're wearing a size 31 x 32.",100% Cotton; Do Not Wash,"1,190 ฿","['Ecru', 'Rinse Blue']",https://levi.co.th/cdn/shop/files/levis-womens-heritage-micro-tote-000iv0001_EAS_PS_LD_FV_1b0b7bd6-88e2-4886-bcb5-7aab8a23ab10.jpg?v=1723722341&width=416; https://levi.co.th/cdn/shop/files/levis-womens-heritage-micro-tote-000iv0001_EAS_PS_LD_BV_ec140d9f-fd15-4dae-96ba-6078de2b01fe.jpg?v=1723722341&width=416; https://levi.co.th/cdn/shop/files/levis-womens-heritage-micro-tote-000iv0001_EAS_PS_LD_D1_52b31f13-1b2a-43d5-b53e-45072bbbc436.jpg?v=1723722341&width=416
Levi's® Men's 505™ Regular Jeans,"Meet the original zip fly from 1967, the 505™ Regular. With its versatile straight leg and classic style, this fit suits all body types and goes with pretty much everything.
The original zip fly, created in 1967
Designed with a comfy, roomy fit
Woven with a hint of stretch for all-day comfort and easy movement
Engineered with Cool Performance technology...
Read more",Stretch; Extra room through the seat and thigh; Straight leg opening; Sits at the waist; Zip fly; 5-pocket styling; Size model is wearing: 32 x 32,"62% Cotton, 36% Polyester, 2% Elastane (Lycra®); Wash your jeans once every 10 wears at most. this increases their lifespan and saves natural resources, When you eventually launder your jeans, wash and dry them inside out with like colors. liquid detergent is recommended; LYCRA® is a trademark of The LYCRA® Company","3,190 ฿","['Rinse', 'Dark Rinse', 'Native Cali', 'Sequoia', 'Oswego Cool', ""Goth Fog Levi'sÂ® Flex"", 'Midnight Selvedge']",https://levi.co.th/cdn/shop/files/levis-mens-505-regular-jeans-005052282_5_ON_FA.jpg?v=1713351171&width=416; https://levi.co.th/cdn/shop/files/levis-mens-505-regular-jeans-005052282_2_ON_BV.jpg?v=1713351171&width=416; https://levi.co.th/cdn/shop/files/levis-mens-505-regular-jeans-005052282_3_ON_SV.jpg?v=1713351171&width=416; https://levi.co.th/cdn/shop/files/levis-mens-505-regular-jeans-005052282_1_ON_FV.jpg?v=1713351171&width=416
Levi's® Women's Pleated Midi Skirt,"A flattering midi skirt that adds a touch of polish. Our Pleated Mini Skirt sits right at your waist and features an mid-calf length with a tailored, pleated design.",Non-stretch; A midi skirt with a touch of polish; Features a mid rise; Finished with a pleated design,"100% Cotton; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","2,490 ฿",['Slightly Circular'],https://levi.co.th/cdn/shop/files/WB_001VN-0000_EAS_PS_ON_DA.jpg?v=1737447847&width=416; https://levi.co.th/cdn/shop/files/WB_001VN-0000_EAS_PS_ON_BV.jpg?v=1737447847&width=416; https://levi.co.th/cdn/shop/files/WB_001VN-0000_EAS_PS_ON_SV.jpg?v=1737447847&width=416; https://levi.co.th/cdn/shop/files/WB_001VN-0000_EAS_PS_ON_FV.jpg?v=1737447847&width=416; https://levi.co.th/cdn/shop/files/WB_001VN-0000_EAS_PS_ON_D1.jpg?v=1737447847&width=416; https://levi.co.th/cdn/shop/files/WB_001VN-0000_EAS_PS_LD_FV.jpg?v=1737447847&width=416; https://levi.co.th/cdn/shop/files/WB_001VN-0000_EAS_PS_LD_BV.jpg?v=1737447847&width=416
Levi's® Men's Roller Crop Beanie,"When you need a trusty beanie, this Roller Crop Beanie is the one you'll reach for. It features soft knit construction and our signature red tab.
A trusty beanie
Crafted with soft fabric","w23*h15+5.5cm; No Closure; Model is 6'2"" with a 31"" waist. They're wearing a size 31 x 32.",100% Acrylic; Hand Wash,"1,190 ฿","['Royal Blue', 'Orange  Fluo']",https://levi.co.th/cdn/shop/files/24_H2_000J5-0001_EAS_PS_LD_FV_1a4b4fb7-eeed-4214-b91c-2c77bfddf7ca.jpg?v=1728044467&width=416; https://levi.co.th/cdn/shop/files/24_H2_000J5-0001_EAS_PS_LD_BV_7ca7be37-c78b-46f6-89c3-11a60cdcd778.jpg?v=1728044467&width=416
Levi's® Women's Icon Long Skirt,"Our Long Icon Skirt is the timeless, maxi denim skirt you’ve been searching for, with a mid rise and the iconic Levi’s® details you know and love . Flip it over and you’ll find two back pockets that were designed to flatter just like the ones on your favorite 501® jeans.
Timeless, maxi length denim skirt
Cut with an A-line...
Read more","Non-Stretch; Button fly; 5-pocket styling; Inseam: N/A"",Leg opening: 48"",Measurements based on size 27 waist","100% Cotton; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","2,290 ฿","['Own It', 'Not In The Mood Stone']",https://levi.co.th/cdn/shop/files/levis-womens-icon-long-skirt-24_H2_WB_A8727-0000_EAS_PS_ON_DA_5a124935-7559-41a5-aab3-c411e2f3f7d9.jpg?v=1732005623&width=416; https://levi.co.th/cdn/shop/files/levis-womens-icon-long-skirt-24_H2_WB_A8727-0000_EAS_PS_ON_BV_f8d1fa59-7f9c-4902-8cae-30a068b39ed1.jpg?v=1732005623&width=416; https://levi.co.th/cdn/shop/files/levis-womens-icon-long-skirt-24_H2_WB_A8727-0000_EAS_PS_ON_SV_bc1ae4da-18d9-44d3-8e12-0ef6549397a6.jpg?v=1732005623&width=416; https://levi.co.th/cdn/shop/files/levis-womens-icon-long-skirt-24_H2_WB_A8727-0000_EAS_PS_ON_FV_62007ba4-7647-4d71-8c15-d2a486de77b5.jpg?v=1732005623&width=416; https://levi.co.th/cdn/shop/files/levis-womens-icon-long-skirt-24_H2_WB_A8727-0000_EAS_PS_ON_D1_a8254600-ae9f-4643-a143-651239a69473.jpg?v=1732005623&width=416; https://levi.co.th/cdn/shop/files/levis-womens-icon-long-skirt-24_H2_WB_A8727-0000_EAS_PS_ON_D2_3410db4c-d9cb-430f-b8ca-c996fdc80ddb.jpg?v=1732005623&width=416; https://levi.co.th/cdn/shop/files/levis-womens-icon-long-skirt-24_H2_WB_A8727-0000_EAS_PS_LD_FV_f3e2b5f2-940b-4793-8140-cbd5be700081.jpg?v=1732005623&width=416; https://levi.co.th/cdn/shop/files/levis-womens-icon-long-skirt-24_H2_WB_A8727-0000_EAS_PS_LD_BV_a8a86389-ea05-49fe-8b63-47dffd3198cf.jpg?v=1732005623&width=416
Levi's® Women's Ellia Tank Dress,"A no-brainer dress that looks just as good dressed up as it does with sneakers. Our Ellia Tank Dress features a high neckline, a button-up front and a form-flattering slim cut.
A versatile midi dress
With a form-flattering cut","Sleeveless; Model is 5'9"" with a 28"" waist. They're wearing a size small.","51% Cotton, 34% Viscose (ECOVERO™), 15% Elastane; Machine wash cold, Do not bleach, Tumble dry low, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","2,090 ฿","['Caviar', 'Olive Night']",https://levi.co.th/cdn/shop/files/24_H2_WT_A8651-0003_EAS_PS_ON_FV_fd81f0c3-176f-4d46-af00-ed124f296b4a.jpg?v=1728045244&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A8651-0003_EAS_PS_ON_BV_dfff7762-ac73-4fd2-a6e7-3fb11c233dc4.jpg?v=1728045244&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A8651-0003_EAS_PS_LD_FV_724437f4-e71d-45ac-a683-f160854fda7b.jpg?v=1728045244&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A8651-0003_EAS_PS_LD_BV_df92aa1a-ebe3-469b-8a7d-30d408be5299.jpg?v=1728045244&width=416
Levi’s® Women's 312 Shaping Slim Jeans,"It's all in the name. Our supportive, soft 312 Shaping Slim jeans lengthen your legs, hug your curves and celebrate your features. Plus, they're designed with a lightweight yet compressive front panel that smooths and supports.
Shape-enhancing jeans with a flattering slim leg
Made to flatter your figure and celebrate your form
Designed with a built-in tummy panel that flatters,...
Read more","Stretch; Smoothing Tummy Panel; Zip fly; 5-pocket styling; Shapes through The Hip And Thigh; Inseam: 30"",Leg opening: 13"",Measurements based on size 27 waist; Model is 5'10"" with a 25"" waist. They're wearing a size 25 x 30.","2% Elastane, 68% Cotton, 30% Polyester (Sorbtek 365); Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors; Cool","2,890 ฿","['Soft Black', 'Darkest Sky', 'Give It A Try', 'Olive Night Twill', 'Cool Planet Blue', 'Working Late', 'Cool View', 'Working Harder']",https://levi.co.th/cdn/shop/files/196270231-alt1-pdp-ama_7a3a4fbd-869d-4c85-977a-b920c6fb1e00.jpg?v=1730453463&width=416; https://levi.co.th/cdn/shop/files/196270231-back-pdp-ama_d662df6c-846e-4954-bcaf-e1ab815ef424.jpg?v=1730453462&width=416; https://levi.co.th/cdn/shop/files/196270231-side-pdp-ama_532f2ae7-a821-41ee-a686-ff63f95968dc.jpg?v=1730453463&width=416; https://levi.co.th/cdn/shop/files/196270231-front-pdp-ama_b56ef664-a6d8-45f3-bc1d-cf6f232941f2.jpg?v=1730453463&width=416; https://levi.co.th/cdn/shop/files/196270231-alt8-pdp-ama_f2ab26d8-ceb3-4401-b2ef-45d09bd7b971.jpg?v=1730453463&width=416; https://levi.co.th/cdn/shop/files/196270231-alt4-pdp-ama_d38cb26a-692a-4dc7-a71d-cc0c72ca2fd4.jpg?v=1730453463&width=416
Levi's® Women's '90s Straight Jeans,"Our '90s Straight pants take you back to the unforgettable decade with its throwback details—like a classic straight leg, waist-defining mid-rise, and easy, relaxed fit.",Non-stretch; '90s-inspired straight-leg pants; Cut with a relaxed fit; Features a waist-defining mid rise,"100% Cotton; Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","1,990 ฿","['Anthracite Night', 'Travertine', 'Breezy Porridge']",https://levi.co.th/cdn/shop/files/WB_001VV-0000_EAS_PS_ON_DA.jpg?v=1737448197&width=416; https://levi.co.th/cdn/shop/files/WB_001VV-0000_EAS_PS_ON_BV.jpg?v=1737448197&width=416; https://levi.co.th/cdn/shop/files/WB_001VV-0000_EAS_PS_ON_SV.jpg?v=1737448197&width=416; https://levi.co.th/cdn/shop/files/WB_001VV-0000_EAS_PS_ON_FV.jpg?v=1737448197&width=416; https://levi.co.th/cdn/shop/files/WB_001VV-0000_EAS_PS_ON_D1.jpg?v=1737448197&width=416; https://levi.co.th/cdn/shop/files/WB_001VV-0000_EAS_PS_LD_FV.jpg?v=1737448197&width=416; https://levi.co.th/cdn/shop/files/WB_001VV-0000_EAS_PS_LD_D1.jpg?v=1737448197&width=416
Levi's® Men's Short-Sleeve Banded Collar Shirt,All the put-together style of your favorite shirt— without the collar. This Short-Sleeve Banded Collar Shirt is the perfect alternative to your usual button-up for an understated yet elevated look.,An elevated banded collar shirt; Cut with a standard fit; With a button-up front; Features a single pocket,"100% Cotton; Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","1,790 ฿","['Bright White', 'Harvest Gold', 'Judah Tile Geo Andorra']",https://levi.co.th/cdn/shop/files/24_H1_MT_69891-0015_EAS_PS_ON_FV_42c852e2-3ca9-4b25-9b62-e53662143374.jpg?v=1737447746&width=416; https://levi.co.th/cdn/shop/files/24_H1_MT_69891-0015_EAS_PS_ON_BV_a2b64825-ef80-4c9c-b100-d6a2638f8378.jpg?v=1737447746&width=416
Levi's® x McLaren Racing Suit,"Gear up for an exciting combination of speed and style as Levi's® and McLaren Racing hit the track together for the first time. Two icons, one race-ready collection designed to reflect the pinnacle of heritage and innovation. Inspired by heritage McLaren race cars, this collection comes to life through era-specific color palettes, graphics and details featured across seven distinct pieces....
Read more",Non-Stretch; A vintage-inspired racing suit; Cut with a roomy fit and classic straight leg; With zippered pockets; Features an embossed vegetable-tanned leather co-branded patch; With a drop crotch design,"100% Cotton; Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","11,490 ฿",['Light Indigo - Flat Finish'],https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_ON_DA.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_ON_BV.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_ON_SV.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_ON_FV.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_ON_DT.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_ON_D1.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_ON_D2.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_ON_A1.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_LD_FV.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_LD_BV.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_LD_A1.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_LD_A2.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_LD_A3.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_LD_A4.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_LD_A5.jpg?v=1719325915&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A8995-0000_EAS_PS_LD_A6.jpg?v=1719325915&width=416
Levi's® Men's Barstow Standard Fit Western Shirt,"Cowboy boots and chaps not included. As a brand with deep roots in the American West, there's nothing we love more than this rugged-yet-put-together Barstow Standard Fit Western Shirt. True to the classic, this essential features a distinctive snap placket, pointed yoke and curved hem. Pair it with your favorite blue jeans for the iconic denim-on-denim look, or size up...
Read more","Our Western Shirts have been worn by generations and continue to define the modern dress code; A testament to timeless American style; Made with all the features that set our Western Shirt apart from the rest; Two button-pockets at chest; We made this garment with TENCEL™ Lyocell, a soft fiber sourced from wood. TENCEL™ is a trademark of Lenzing AG.; Model is 5'10"" with a 26"" waist. They're wearing a size 26 x 30.","10% Cotton, 90% Lyocell (Lenzing TENCEL™ Lyocell); Machine wash cold - delicate cycle, Do not bleach, Do not tumble dry, Cool iron if needed, Dry cleaning possible, Wash inside out with like colors, Line dry","2,090 ฿","['Indigo Micro Plaid', 'Indigo Windowpane Plaid']",https://levi.co.th/cdn/shop/files/24_H2_MT_85744-0073_EAS_PS_ON_DA_0db2524f-156a-4057-8319-4c39da4ace06.jpg?v=1719323578&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_85744-0073_EAS_PS_ON_BV_9d875795-08df-4a4a-9cb8-e4041a2ac110.jpg?v=1719323578&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_85744-0073_EAS_PS_ON_FV_64088f26-93e9-429e-808a-b6c34469233a.jpg?v=1719323578&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_85744-0073_EAS_PS_ON_D1_26eaf219-8b9f-414a-8210-69e2d0009697.jpg?v=1719323578&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_85744-0073_EAS_PS_LD_FV_262095b4-086a-4e21-a667-8f2222e23abc.jpg?v=1719323578&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_85744-0073_EAS_PS_LD_D1_d9aa5881-95c1-4dd6-ac95-8ecca1637a13.jpg?v=1719323578&width=416
Levi's® Men's Heritage Rucksack,"Our Heritage Rucksack is an essential for traveling. We made it with durable cotton canvas and gave it a roomy interior with a laptop sleeve, outside pockets and 25L of capacity.
A versatile rucksack
With a roomy interior
Features 25L capacity",Snap Hook,90% COTTON +10% BOVINE LEATHER; Do Not Wash,"2,390 ฿",['Jeans Blue'],https://levi.co.th/cdn/shop/files/002GW-0000_EAS_PS_ON_DA_38cd1caf-577e-4d71-9e4a-587136cc6959.jpg?v=1735526499&width=416; https://levi.co.th/cdn/shop/files/002GW-0000_EAS_PS_LD_FV_42a16e08-656e-47f2-b1e7-c0c387c471ab.jpg?v=1735526499&width=416; https://levi.co.th/cdn/shop/files/002GW-0000_EAS_PS_LD_BV_c149af61-cbeb-4ad8-89a9-97ccb597d0f1.jpg?v=1735526499&width=416; https://levi.co.th/cdn/shop/files/002GW-0000_EAS_PS_LD_D1_3a44e11c-8df1-4a48-948b-0187df5117ad.jpg?v=1735526499&width=416
Levi's® Men's XX Chino Authentic Relaxed,"Levi's® XX Chino Authentic Relaxed—don't call them khakis. These pants are soft with a straight leg, and are cut with a clean, regular fit through the thigh.",Non-stretch; A modern take on the classic chino; Versatile fit with a straight leg; Two front pockets for a classic style; With a hidden zip pocket inside the right hand pocket; Finished with two back flap pockets,"100% Cotton; Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","2,890 ฿","['Meteorite Lightweight Twill Garment Dye', 'Purple Dove Twill Lightweight Twill Garment Dye', 'Vintage Khaki Lightweight Twill Garment Dye']",https://levi.co.th/cdn/shop/files/MB_A5753-0044_EAS_PS_ON_DA.jpg?v=1737448506&width=416; https://levi.co.th/cdn/shop/files/MB_A5753-0044_EAS_PS_ON_BV.jpg?v=1737448506&width=416; https://levi.co.th/cdn/shop/files/MB_A5753-0044_EAS_PS_ON_SV.jpg?v=1737448506&width=416; https://levi.co.th/cdn/shop/files/MB_A5753-0044_EAS_PS_ON_FV.jpg?v=1737448506&width=416; https://levi.co.th/cdn/shop/files/MB_A5753-0044_EAS_PS_ON_D1.jpg?v=1737448506&width=416; https://levi.co.th/cdn/shop/files/MB_A5753-0044_EAS_PS_LD_FV.jpg?v=1737448506&width=416; https://levi.co.th/cdn/shop/files/MB_A5753-0044_EAS_PS_LD_D1.jpg?v=1737448506&width=416
Levi's® Women's 501® Original High-Rise Jean Shorts,"We didn’t just introduce the blue jean—we also invented the first-ever jean shorts. An iconic style that defines your waist and hugs you in all the right places, our 501® Original Shorts are comfy, leg-lengthening, and perfect for all-around wear.
The first-ever jean shorts, updated with a waist-defining high rise
A universally-flattering summer essential
Designed with a vintage-inspired fit","Stretch; Button fly; 5-pocket styling; Straight Leg; Inseam: 2 1/2"",Leg opening: 23 1/4"",Measurements based on size 27 waist; Model is 6'2"" with a 29"" waist. They're wearing a size M.","100% Cotton; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","2,090 ฿","['Find Time', 'Fine Weather', 'Coast To Coast Short']",https://levi.co.th/cdn/shop/files/levis-womens-501-original-high-rise-jean-shorts-563270417_EAS_PS_ON_FV_f30a5228-899d-4a05-9c8b-53169ce2d35e.jpg?v=1723722513&width=416; https://levi.co.th/cdn/shop/files/levis-womens-501-original-high-rise-jean-shorts-563270417_EAS_PS_ON_BV_5a1a53bb-6b15-4942-b944-edeb6c2b7124.jpg?v=1723722512&width=416; https://levi.co.th/cdn/shop/files/levis-womens-501-original-high-rise-jean-shorts-563270417_EAS_PS_ON_SV_2591b2c9-4968-479a-896b-21e9bffda2e3.jpg?v=1723722513&width=416; https://levi.co.th/cdn/shop/files/levis-womens-501-original-high-rise-jean-shorts-563270417_EAS_PS_ON_D2_8c7b8ff1-e596-4895-a538-ae79cfa7902d.jpg?v=1723722513&width=416; https://levi.co.th/cdn/shop/files/levis-womens-501-original-high-rise-jean-shorts-563270417_EAS_PS_LD_FV_fd95edd2-1087-4c44-8967-0d233c2746c0.jpg?v=1723722513&width=416; https://levi.co.th/cdn/shop/files/levis-womens-501-original-high-rise-jean-shorts-563270417_EAS_PS_LD_D1_150a219d-2e7a-42a4-87bb-2cfa29c53eff.jpg?v=1723722513&width=416
Levi’s® Men’s Jackson Worker Overshirt,"A good overshirt's all about comfort and versatility. Our Jackson Worker Overshirt has both. With utility pocketing and a classic silhouette, this workwear-inspired overshirt is the kind of jacket you'll wear for years to come.
A durable button-up workshirt inspired by workwear
A versatile layering piece
Complete with utility pockets","Point collar; Long Sleeve; Model is 6'1"" with a 32"" waist. They're wearing a size medium.","100% Cotton; Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","2,090 ฿","['Enzo Vintage Indigo Cord', 'Hudson Plaid Mirage Gray', 'Brody Plaid Lapis Blue', 'Tbd1 Twill']",https://levi.co.th/cdn/shop/files/24_H2_MT_19573-0239_EAS_PS_ON_FV_dc51b79f-e05e-4926-ad3d-c9e37cc87478.jpg?v=1728044686&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_19573-0239_EAS_PS_ON_BV_314cf2f9-4706-479d-894c-034699e272cf.jpg?v=1728044686&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_19573-0239_EAS_PS_ON_DA_37266e98-e125-4672-ac14-5b13ab50cc4c.jpg?v=1728044686&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_19573-0239_EAS_PS_ON_D1_572b8259-0eab-4875-a9ec-91e6c2b5c31c.jpg?v=1728044686&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_19573-0239_EAS_PS_LD_FV_da1a1576-795c-4167-abce-a2b2502a72a1.jpg?v=1728044686&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_19573-0239_EAS_PS_LD_D1_e866aa34-8b1c-4b9c-8bd8-9571b9ee3057.jpg?v=1728044686&width=416
Levi's® Men's 505™ Regular Jeans,"Meet the original zip fly from 1967, the 505™ Regular. With its versatile straight leg and classic style, this fit suits all body types and goes with pretty much everything.
The original zip fly, created in 1967
Designed with a comfy, roomy fit
Woven with a hint of stretch for all-day comfort and easy movement
For a modern look, try...
Read more","Stretch; Extra room through the seat and thigh; Straight leg opening; Sits at the waist; Zip fly; 5-pocket styling; Model is 5'9"" with a 27"" waist. They're wearing a size 27 x 30.","99% Cotton, 1% Elastane; Wash your jeans once every 10 wears at most. this increases their lifespan and saves natural resources, When you eventually launder your jeans, wash and dry them inside out with like colors. liquid detergent is recommended","2,190 ฿","['SUNSET DUSK', 'Sunset Down']",https://levi.co.th/cdn/shop/files/levis-mens-505-regular-005052409_1_ON_FA.jpg?v=1714372260&width=416; https://levi.co.th/cdn/shop/files/levis-mens-505-regular-005052409_2_ON_BV.jpg?v=1714372260&width=416; https://levi.co.th/cdn/shop/files/levis-mens-505-regular-005052409_3_ON_SV.jpg?v=1714372260&width=416; https://levi.co.th/cdn/shop/files/levis-mens-505-regular-005052409_4_ON_FV.jpg?v=1714372260&width=416
Levi's® Men's 501® Original Jeans,"Close your eyes. Think “jeans.” Now open. They were 501® Originals, right? With a classic straight leg and iconic styling, they’re literally the blueprint for every pair of jeans in existence—burned into the world’s collective cortex ever since Levi Strauss (the man himself!) invented them in 1873. To this day they’ve never gone out of style. And they never will.
...
Read more","Non-stretch; Regular through the thigh; Straight leg opening; Sits at the waist; Button fly; 5-pocket styling; Straight leg; Front rise: 11 1/4"", Knee: 17 1/2"", Leg Opening: 16"", Measurements based on size 32.; Model is 5'10"" with a 25"" waist. They're wearing a size small.","100% Cotton; Machine wash cold - normal cycle. Wash inside out with like colors, do not bleach, tumble dry medium, hot iron, dry clean possible","3,190 ฿","['Black', 'Crispy Rinse', 'Authentic Vintage', 'Only You', 'People Everywhere Stretch', ""It's Time To Go Stretch""]",https://levi.co.th/cdn/shop/files/levis-mens-501-original-jeans-005011484_5_ON_FA.jpg?v=1713353814&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-jeans-005011484_2_ON_BV.jpg?v=1713353814&width=416; https://levi.co.th/cdn/shop/files/preview_images/ama_005010165_h264main_Autox1080_5000K_4607b3e9-4ed7-4db6-864e-c4c371b26d19.jpg?v=1707210309&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-jeans-005011484_3_ON_SV.jpg?v=1713350665&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-jeans-005011484_1_ON_FV.jpg?v=1713350665&width=416
Levi's® Men's Paisley Bandana,"The multipurpose tool of accessories. Wear this Paisley Bandana as a headscarf, armband, or necktie.
A classic paisley bandana
Crafted from 100% cotton","No closure; Model is 6'1"" with a 29"" waist. They're wearing a size medium.",100% Cotton; Hand wash,790 ฿,['Navy Blue'],https://levi.co.th/cdn/shop/files/24_H1_77138-0630_EAS_PS_LE_DA.jpg?v=1716531504&width=416; https://levi.co.th/cdn/shop/files/24_H1_77138-0630_EAS_PS_LE_BV.jpg?v=1716531504&width=416; https://levi.co.th/cdn/shop/files/24_H1_77138-0630_EAS_PS_LE_D1.jpg?v=1716531505&width=416
Levi's® Men's 501® Original Jeans,"Close your eyes. Think “jeans.” Now open. They were 501® Originals, right? With a classic straight leg and iconic styling, they’re literally the blueprint for every pair of jeans in existence—burned into the world’s collective cortex ever since Levi Strauss (the man himself!) invented them in 1873. To this day they’ve never gone out of style. And they never will.
...
Read more","Non-stretch; Regular through the thigh; Straight leg opening; Sits at the waist; Button fly; 5-pocket styling; Straight leg; Front rise: 11 1/4"", Knee: 17 1/2"", Leg Opening: 16"", Measurements based on size 32.; Model is 6'1"" with a 31"" waist. They're wearing a size medium.","100% Cotton; Machine wash cold - normal cycle. Wash inside out with like colors, do not bleach, tumble dry medium, hot iron, dry clean possible","3,190 ฿","['Black', 'Crispy Rinse', 'Authentic Vintage', 'Only You', 'People Everywhere Stretch', ""It's Time To Go Stretch""]",https://levi.co.th/cdn/shop/files/levis-mens-501-original-jeans-005010165_1_ON_DA.jpg?v=1713353806&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-jeans-005010165_2_ON_BV.jpg?v=1713353806&width=416; https://levi.co.th/cdn/shop/files/preview_images/ama_005010165_h264main_Autox1080_5000K.jpg?v=1707209486&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-jeans-005010165_3_ON_SV.jpg?v=1713350657&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-jeans-005010165_4_ON_FV.jpg?v=1713350657&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-jeans-005010165_5_ON_FA.jpg?v=1713350657&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-jeans-005010165_7_ON_D1.jpg?v=1713350657&width=416
